holding_month,portfolio,instrument,contribution
2018-02,high_pbr,A069620,0.00140803309724633
2018-02,high_pbr,A079160,-0.0031309735567923314
2018-02,high_pbr,A090430,-0.0020940171293771306
2018-02,high_pbr,A093370,-0.0032656023562437466
2018-02,high_pbr,A096760,-0.0026573939037767536
2018-02,high_pbr,A114090,-0.007063531051937816
2018-02,high_pbr,A128940,-0.005114685989657873
2018-02,high_pbr,A161890,-0.004156486150892471
2018-02,high_pbr,A185750,-0.0022098354199888703
2018-02,high_pbr,A192820,-0.002112743753632209
2018-02,high_pbr,A204320,-0.0031993324262132744
2018-02,high_pbr,A207940,0.0012719336539133038
2018-02,high_pbr,A251270,-0.0034729920002720825
2018-02,high_pbr,A271560,-0.0025429116913605436
2018-02,low_pbr,A000030,-0.0005357826385137351
2018-02,low_pbr,A000050,-0.0013308489649536894
2018-02,low_pbr,A000070,-0.0024269283127713306
2018-02,low_pbr,A000210,-0.0030165912166767793
2018-02,low_pbr,A000240,-0.0003229348006484917
2018-02,low_pbr,A000270,-0.0006344940452123876
2018-02,low_pbr,A000720,-0.003687893842564496
2018-02,low_pbr,A001230,-0.004884004851256359
2018-02,low_pbr,A001430,-0.0037986704875653454
2018-02,low_pbr,A001520,-0.0028860028038630746
2018-02,low_pbr,A001740,-0.0023021353868573893
2018-02,low_pbr,A002240,-0.002586270592029649
2018-02,low_pbr,A002380,-0.003951842590191694
2018-02,low_pbr,A003030,-0.005801137085944
2018-02,low_pbr,A003240,-0.0019096352517951737
2018-02,low_pbr,A003300,-0.006602180277798902
2018-02,low_pbr,A003920,-0.000583579525712006
2018-02,low_pbr,A004020,-0.0026128160583658725
2018-02,low_pbr,A004490,-0.001972386573223036
2018-02,low_pbr,A005490,-0.0030185005467750505
2018-02,low_pbr,A006360,-0.0033646595816416458
2018-02,low_pbr,A009540,-0.0016483516140748018
2018-02,low_pbr,A010140,-0.0030648824204095016
2018-02,low_pbr,A011210,-0.0023462375777192233
2018-02,low_pbr,A014830,-0.0013189827654751462
2018-02,low_pbr,A015760,-0.0022079772218963367
2018-02,low_pbr,A023530,-0.004610204629210542
2018-02,low_pbr,A024110,0.00015400011615892179
